[12:24:37] Id:  1, MsgId:     0, xSensAcc1: 0.039011, xSensAcc2: -0.105693, xSensYaw: 0.070909, rateOfTurn: 0.010675, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:37] Id:  1, MsgId:     0, xSensAcc1: 0.010536, xSensAcc2: -0.108022, xSensYaw: 0.070932, rateOfTurn: 0.011513, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.057893, wheelSp4: -0.000012

[12:24:37] Id:  1, MsgId:     0, xSensAcc1: 0.024831, xSensAcc2: -0.128348, xSensYaw: 0.070932, rateOfTurn: 0.010373, wheelSp1: %&7f, wheelSp2: -0.057893, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:37] Id:  1, MsgId:     0, xSensAcc1: 0.026694, xSensAcc2: -0.102201, xSensYaw: 0.070978, rateOfTurn: 0.009697, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:37] Id:  1, MsgId:     0, xSensAcc1: 0.046624, xSensAcc2: -0.110792, xSensYaw: 0.071048, rateOfTurn: 0.011304, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:37] Id:  1, MsgId:     0, xSensAcc1: 0.011118, xSensAcc2: -0.114355, xSensYaw: 0.071048, rateOfTurn: 0.011234, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:37] Id:  1, MsgId:     0, xSensAcc1: 0.029232, xSensAcc2: -0.114844, xSensYaw: 0.071072, rateOfTurn: 0.011164, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:37] Id:  1, MsgId:     0, xSensAcc1: 0.021199, xSensAcc2: -0.098965, xSensYaw: 0.071048, rateOfTurn: 0.010186, wheelSp1: %&7f, wheelSp2: -0.057893, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:37] Id:  1, MsgId:     0, xSensAcc1: 0.003038, xSensAcc2: -0.103971, xSensYaw: 0.071048, rateOfTurn: 0.009884, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.057893, wheelSp4: -0.000012

[12:24:37] Id:  1, MsgId:     0, xSensAcc1: -0.006764, xSensAcc2: -0.079128, xSensYaw: 0.071118, rateOfTurn: 0.010140, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:37] Id:  1, MsgId:     0, xSensAcc1: 0.011583, xSensAcc2: -0.100944, xSensYaw: 0.071118, rateOfTurn: 0.010536, wheelSp1: %&7f, wheelSp2: -0.057893, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:37] Id:  1, MsgId:     0, xSensAcc1: 0.203087, xSensAcc2: -0.604347, xSensYaw: 0.071258, rateOfTurn: 0.013143, wheelSp1: %&7f, wheelSp2: 8.161913, wheelSp3: 0.173657, wheelSp4: 7.988268

