[14:31:02] Id: 10, MsgId:     0, xSensAcc1: 0.086857, xSensAcc2: -0.122248, xSensYaw: -3.128697, rateOfTurn: 0.014261, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:02] Id: 10, MsgId:     0, xSensAcc1: 0.060128, xSensAcc2: -0.138313, xSensYaw: -3.128720, rateOfTurn: 0.014191, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:02] Id: 10, MsgId:     0, xSensAcc1: 0.076054, xSensAcc2: -0.132585, xSensYaw: -3.128720, rateOfTurn: 0.014005, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:02] Id: 10, MsgId:     0, xSensAcc1: 0.078825, xSensAcc2: -0.135403, xSensYaw: -3.128720, rateOfTurn: 0.013958, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:02] Id: 10, MsgId:     0, xSensAcc1: 0.060874, xSensAcc2: -0.116078, xSensYaw: -3.128720, rateOfTurn: 0.014075, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:02] Id: 10, MsgId:     0, xSensAcc1: 0.089162, xSensAcc2: -0.134890, xSensYaw: -3.128720, rateOfTurn: 0.014028, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:02] Id: 10, MsgId:     0, xSensAcc1: 0.069558, xSensAcc2: -0.126578, xSensYaw: -3.128767, rateOfTurn: 0.013656, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:02] Id: 10, MsgId:     0, xSensAcc1: 0.063574, xSensAcc2: -0.111049, xSensYaw: -3.128767, rateOfTurn: 0.013469, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:02] Id: 10, MsgId:     0, xSensAcc1: 0.070303, xSensAcc2: -0.112166, xSensYaw: -3.128767, rateOfTurn: 0.013306, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:02] Id: 10, MsgId:     0, xSensAcc1: 0.070303, xSensAcc2: -0.112166, xSensYaw: -3.128767, rateOfTurn: 0.013306, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:02] Id: 10, MsgId:     0, xSensAcc1: 0.070303, xSensAcc2: -0.112166, xSensYaw: -3.128767, rateOfTurn: 0.013306, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:02] Id: 10, MsgId:     0, xSensAcc1: 0.070303, xSensAcc2: -0.112166, xSensYaw: -3.128767, rateOfTurn: 0.013306, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:02] Id: 10, MsgId:     0, xSensAcc1: 0.070303, xSensAcc2: -0.112166, xSensYaw: -3.128767, rateOfTurn: 0.013306, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:02] Id: 10, MsgId:     0, xSensAcc1: 0.070303, xSensAcc2: -0.112166, xSensYaw: -3.128767, rateOfTurn: 0.013306, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:02] Id: 10, MsgId:     0, xSensAcc1: 0.078266, xSensAcc2: -0.138755, xSensYaw: -3.128720, rateOfTurn: 0.015006, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:02] Id: 10, MsgId:     0, xSensAcc1: 0.078056, xSensAcc2: -0.129093, xSensYaw: -3.128743, rateOfTurn: 0.014610, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

