[12:17:45] Id:  1, MsgId:     0, xSensAcc1: -1.403049, xSensAcc2: 0.725558, xSensYaw: 0.006927, rateOfTurn: -2.891629, wheelSp1: %&7f, wheelSp2: -7.640978, wheelSp3: -7.698860, wheelSp4: -8.277723

[12:17:45] Id:  1, MsgId:     0, xSensAcc1: -1.576461, xSensAcc2: -0.689121, xSensYaw: -0.038312, rateOfTurn: -2.623641, wheelSp1: %&7f, wheelSp2: -7.062114, wheelSp3: -6.251701, wheelSp4: -6.830564

[12:17:45] Id:  1, MsgId:     0, xSensAcc1: -1.579348, xSensAcc2: 0.404369, xSensYaw: -0.059500, rateOfTurn: -2.491137, wheelSp1: %&7f, wheelSp2: -6.193819, wheelSp3: -5.788624, wheelSp4: -6.425369

[12:17:45] Id:  1, MsgId:     0, xSensAcc1: 0.699994, xSensAcc2: 0.440783, xSensYaw: -0.100315, rateOfTurn: -2.249458, wheelSp1: %&7f, wheelSp2: -5.209760, wheelSp3: -5.730742, wheelSp4: -6.309582

[12:17:45] Id:  1, MsgId:     0, xSensAcc1: -0.752893, xSensAcc2: -0.363158, xSensYaw: -0.133121, rateOfTurn: -2.009061, wheelSp1: %&7f, wheelSp2: -4.804565, wheelSp3: -5.267642, wheelSp4: -5.846506

[12:17:45] Id:  1, MsgId:     0, xSensAcc1: 1.056201, xSensAcc2: 0.616547, xSensYaw: -0.149582, rateOfTurn: -1.900911, wheelSp1: %&7f, wheelSp2: -5.151878, wheelSp3: -4.804565, wheelSp4: -5.267642

[12:17:45] Id:  1, MsgId:     0, xSensAcc1: 1.081440, xSensAcc2: -0.451494, xSensYaw: -0.180642, rateOfTurn: -1.700141, wheelSp1: %&7f, wheelSp2: -4.804565, wheelSp3: -5.267642, wheelSp4: -4.515133

[12:17:45] Id:  1, MsgId:     0, xSensAcc1: -0.741018, xSensAcc2: -0.237266, xSensYaw: -0.207371, rateOfTurn: -1.542724, wheelSp1: %&7f, wheelSp2: -3.646838, wheelSp3: -4.225702, wheelSp4: -3.588956

