1646054173.5011427 -6.815663091918395 -4.894973262773419 1.129985304454749  4.81911700481578 13.371661757075344 13.429566738166614 12.966466587829927 13.66109353027423 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
1646054173.5116973 -4.172942153571057 -7.897580527096579 1.2190197426098166  4.511524441411893 14.239957076657447 14.760938925021037 13.429566738166614 14.413625453802524 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
1646054173.5327172 -3.1304429463707493 -6.414565742001287 1.3072392735120957  4.731479550522636 13.371661757075344 13.082229983883735 14.992489000185742 14.239957076657447 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
1646054173.5493052 2.177793050337641 2.9068323619139846 1.3597193005989539  4.899327161576366 14.760938925021037 15.050370698212646 15.513447565484967 15.397684169431159 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
1646054173.5656393 -1.0512652980614803 -1.879117934826354 1.463165955603472  5.302845950180199 15.687115942622768 14.934584019094473 15.339802471404255 15.744997640649672 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
1646054173.577152 -0.7222290323697962 -4.338694288831903 1.5719444323403877  5.385640527085343 15.976547715814377 15.976547715814377 16.26597948901326 15.976547715814377 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
1646054173.5935175 0.569468812791456 -0.4109577447961783 1.6284291465053684  5.50978582631069 16.323861187040166 16.381742885059793 16.613292960231774 16.55541126220487 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
1646054173.610008 0.17866257733112434 -4.272221140054171 1.7398618925872142  5.6710210470773745 17.250038204641896 16.613292960231774 16.439624583086697 16.729056356285582 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
1646054173.6332757 1.281627902702894 2.5827321058750385 1.8560211007279577  5.6621734826185275 16.729056356285582 17.481588279813877 17.192156506614992 16.729056356285582 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
1646054173.6590335 -2.011738269480702 4.9722264361189445 2.030481102061458  5.7057360960534425 16.902724733423383 17.423683298722608 17.365801600695704 17.3079199026688 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
1646054173.6986053 -3.272492922100355 2.507294977309357 2.2044055929072783  5.6757707922079135 17.82890175103239 16.84484303539648 16.78693805430521 17.3079199026688 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
1646054173.7244952 -0.6301677958472283 -1.9309693191826227 2.428109275388124  5.606689940221258 17.3079199026688 17.01848812947719 16.78693805430521 16.67117465825868 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
1646054173.7571328 -0.5347305149916792 0.8101458491946687 2.597027907395386  5.460099766940402 16.55541126220487 16.55541126220487 16.729056356285582 16.902724733423383 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
1646054173.795684 0.3041117281609331 -2.3575150584510993 2.76033532089059  5.428900460683508 16.67117465825868 16.208097790986358 16.15019280989509 15.976547715814377 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
1646054173.8062437 -2.063007577227836 5.182239676745667 2.8702313847243204  5.376932661012688 15.86076103670348 16.092311111868185 16.381742885059793 16.439624583086697 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
1646054173.822566 1.8906895835752948 -1.95902541175019 2.921943070687121  5.3831492391982465 16.208097790986358 16.092311111868185 15.918666017794749 15.918666017794749 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
1646054173.8610606 0.7480731995819951 -1.1441414418368367 3.141292820124363  5.584571029066865 16.55541126220487 15.918666017794749 16.208097790986358 16.439624583086697 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
1646054173.8776484 -0.22148016694700345 4.338135461046477 -3.086857049871469  5.405314716481371 16.439624583086697 16.03442941384128 16.092311111868185 15.629234244595864 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
1646054173.893756 2.0399107431294397 -0.2605724320237641 -2.9788701973157004  5.4679927257675445 16.26597948901326 15.802879338676576 15.629234244595864 15.744997640649672 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
1646054173.9101634 0.9026028978114482 -7.255107648852572 -2.876610978601093  5.396187755242863 15.744997640649672 15.397684169431159 15.224015792286082 15.918666017794749 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
1646054173.9289072 0.7940106855821796 3.501179146107461 -2.8217560789416893  5.289085659140255 15.513447565484967 15.339802471404255 15.339802471404255 15.976547715814377 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
1646054173.9370592 0.042247103177942336 -4.011543951353815 -2.721196523925755  5.317281450094015 15.166134094266454 15.224015792286082 15.281920773377351 15.339802471404255 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
1646054173.9533963 -0.579969509068178 -2.8806855148650357 -2.6206136858454556  5.085777941058041 15.455565867458063 15.224015792286082 15.10825239623955 15.166134094266454 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
1646054173.9746525 -0.5867215977341402 -1.5154597524160636 -2.569181396647764  5.13623234154511 14.992489000185742 15.10825239623955 14.934584019094473 15.281920773377351 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
1646054173.9909604 -2.6475056251947535 -4.945939890683803 -2.4694367488846183  5.098234380493523 15.050370698212646 14.992489000185742 14.992489000185742 14.876702321067569 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
1646054174.0073419 -2.0728563134543947 -2.992863319006574 -2.3716245954638  4.980328942518099 14.413625453802524 14.182075378630543 15.050370698212646 14.760938925021037 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
1646054174.0235713 2.25704860145197 -0.057055166362260934 -2.3210072135188966  5.028175639803521 14.645152245902864 14.703057226994133 15.166134094266454 14.703057226994133 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
1646054174.0400345 -2.132926619531645 -5.104823521949584 -2.2241263826726936  5.01008469878434 15.166134094266454 14.934584019094473 14.934584019094473 14.12419368060364 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
1646054174.0564594 1.3354117814014899 6.4022489667113405 -2.1740445112081943  4.878465535897703 14.703057226994133 14.876702321067569 14.876702321067569 14.992489000185742 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
1646054174.0843647 -1.204514427743561 -5.473790243035182 -1.9786530350102112  4.968501145820483 14.876702321067569 14.35574375577562 14.876702321067569 14.703057226994133 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
1646054174.1060944 4.618673103650508 6.754056069352373 -1.9288272772610071  4.888989480990858 14.239957076657447 14.992489000185742 15.397684169431159 14.182075378630543 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
1646054174.1222389 5.846598635500413 4.840118328880635 -1.8302467827088549  4.924891966249561 14.818820623047941 15.050370698212646 15.744997640649672 14.471507151822152 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
1646054174.1384857 5.9209181769692805 0.7316586391971214 -1.7306883994606324  5.130993652062898 15.050370698212646 15.166134094266454 15.687115942622768 14.645152245902864 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
1646054174.1547844 -2.835935465147486 2.740893962145492 -1.6792561102702166  4.960957432966097 15.339802471404255 15.339802471404255 15.339802471404255 14.934584019094473 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
1646054174.1661654 5.170551578426966 5.689926895349345 -1.577043457677064  5.152670184994349 14.934584019094473 15.339802471404255 15.339802471404255 14.760938925021037 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
