[14:24:51.791] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -1.004606, xSensAcc2: -3.591098, xSensYaw: 2.107571, rateOfTurn: -11.214974, wheelSp1: %&7f, wheelSp2: -33.226620, wheelSp3: -32.879307, wheelSp4: -33.168739

[14:24:51.807] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -0.355730, xSensAcc2: -0.638713, xSensYaw: 1.882610, rateOfTurn: -11.248013, wheelSp1: %&7f, wheelSp2: -33.226620, wheelSp3: -32.358326, wheelSp4: -33.168739

[14:24:51.823] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.662601, xSensAcc2: -1.825381, xSensYaw: 1.769315, rateOfTurn: -11.248945, wheelSp1: %&7f, wheelSp2: -33.747578, wheelSp3: -32.589874, wheelSp4: -32.589874

[14:24:51.840] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 4.099135, xSensAcc2: 4.543725, xSensYaw: 1.543539, rateOfTurn: -11.265825, wheelSp1: %&7f, wheelSp2: -33.921249, wheelSp3: -31.953131, wheelSp4: -33.168739

[14:24:51.856] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.316149, xSensAcc2: -3.626163, xSensYaw: 1.430942, rateOfTurn: -11.269876, wheelSp1: %&7f, wheelSp2: -34.210678, wheelSp3: -32.531994, wheelSp4: -32.763519

[14:24:51.872] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 1.435389, xSensAcc2: 0.698201, xSensYaw: 1.205143, rateOfTurn: -11.274952, wheelSp1: %&7f, wheelSp2: -33.284504, wheelSp3: -32.416206, wheelSp4: -33.284504

[14:24:51.889] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -1.679629, xSensAcc2: -0.754755, xSensYaw: 0.979484, rateOfTurn: -11.269969, wheelSp1: %&7f, wheelSp2: -33.921249, wheelSp3: -32.937191, wheelSp4: -32.763519

[14:24:51.905] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 1.813576, xSensAcc2: -2.988183, xSensYaw: 0.866584, rateOfTurn: -11.278491, wheelSp1: %&7f, wheelSp2: -33.631817, wheelSp3: -33.110836, wheelSp4: -32.763519

