[16:11:16.276] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.073377, xSensAcc2: -0.266044, xSensYaw: -0.018708, rateOfTurn: 0.005763, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[16:11:16.324] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.107812, xSensAcc2: -0.272074, xSensYaw: -0.018778, rateOfTurn: 0.003946, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[16:11:16.341] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.077125, xSensAcc2: -0.284764, xSensYaw: -0.018778, rateOfTurn: 0.004203, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[16:11:16.357] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.089605, xSensAcc2: -0.280107, xSensYaw: -0.018755, rateOfTurn: 0.005274, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[16:11:16.373] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.100688, xSensAcc2: -0.273332, xSensYaw: -0.018778, rateOfTurn: 0.005274, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[16:11:16.390] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.091956, xSensAcc2: -0.275217, xSensYaw: -0.018801, rateOfTurn: 0.004668, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[16:11:16.406] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.078033, xSensAcc2: -0.282249, xSensYaw: -0.018801, rateOfTurn: 0.004459, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[16:11:16.422] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.083086, xSensAcc2: -0.251562, xSensYaw: -0.006531, rateOfTurn: 0.004878, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[16:11:16.439] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.109163, xSensAcc2: -0.268884, xSensYaw: -0.006531, rateOfTurn: 0.005646, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[16:11:16.455] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.094634, xSensAcc2: -0.278780, xSensYaw: -0.006554, rateOfTurn: 0.005204, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[16:11:16.504] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.085693, xSensAcc2: -0.269956, xSensYaw: -0.006601, rateOfTurn: 0.004529, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[16:11:16.537] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.078825, xSensAcc2: -0.272493, xSensYaw: -0.006671, rateOfTurn: 0.003923, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[16:11:16.554] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.081852, xSensAcc2: -0.275148, xSensYaw: -0.006671, rateOfTurn: 0.003923, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[16:11:16.586] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.097079, xSensAcc2: -0.272843, xSensYaw: -0.006694, rateOfTurn: 0.004366, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[16:11:16.602] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.084529, xSensAcc2: -0.277872, xSensYaw: -0.006694, rateOfTurn: 0.004552, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[16:11:16.684] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.074890, xSensAcc2: -0.262808, xSensYaw: -0.006694, rateOfTurn: 0.005413, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[16:11:16.717] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.082410, xSensAcc2: -0.259711, xSensYaw: -0.006740, rateOfTurn: 0.005064, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[16:11:16.733] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.093726, xSensAcc2: -0.261411, xSensYaw: -0.006764, rateOfTurn: 0.004482, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[16:11:16.749] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.088371, xSensAcc2: -0.274123, xSensYaw: -0.006764, rateOfTurn: 0.004552, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[16:11:16.766] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.091724, xSensAcc2: -0.274146, xSensYaw: -0.006740, rateOfTurn: 0.005087, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[16:11:16.782] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.107742, xSensAcc2: -0.276358, xSensYaw: -0.006764, rateOfTurn: 0.005600, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[16:11:16.798] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.092585, xSensAcc2: -0.267813, xSensYaw: -0.006787, rateOfTurn: 0.005343, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[16:11:16.831] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.090443, xSensAcc2: -0.283762, xSensYaw: -0.006764, rateOfTurn: 0.004505, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[16:11:16.847] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.094052, xSensAcc2: -0.267860, xSensYaw: -0.006764, rateOfTurn: 0.004761, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[16:11:16.864] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.082038, xSensAcc2: -0.270398, xSensYaw: -0.006740, rateOfTurn: 0.005763, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[16:11:16.880] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.093493, xSensAcc2: -0.270910, xSensYaw: -0.006810, rateOfTurn: 0.004924, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[16:11:16.913] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.103388, xSensAcc2: -0.279455, xSensYaw: -0.006857, rateOfTurn: 0.003574, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[16:11:16.962] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.080012, xSensAcc2: -0.277918, xSensYaw: -0.006810, rateOfTurn: 0.005553, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[16:11:16.978] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.089791, xSensAcc2: -0.267208, xSensYaw: -0.006834, rateOfTurn: 0.005157, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[16:11:17.011] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.089791, xSensAcc2: -0.267208, xSensYaw: -0.006834, rateOfTurn: 0.005157, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[16:11:17.076] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.089791, xSensAcc2: -0.267208, xSensYaw: -0.006834, rateOfTurn: 0.005157, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[16:11:17.092] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.089791, xSensAcc2: -0.267208, xSensYaw: -0.006834, rateOfTurn: 0.005157, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[16:11:17.109] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.102224, xSensAcc2: -0.269769, xSensYaw: -0.006880, rateOfTurn: 0.005343, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[16:11:17.125] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.095332, xSensAcc2: -0.286952, xSensYaw: -0.006880, rateOfTurn: 0.005739, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[16:11:17.158] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.091630, xSensAcc2: -0.273448, xSensYaw: -0.006857, rateOfTurn: 0.005506, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[16:11:17.174] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.092608, xSensAcc2: -0.271329, xSensYaw: -0.006880, rateOfTurn: 0.005343, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[16:11:17.190] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.091281, xSensAcc2: -0.265229, xSensYaw: -0.006857, rateOfTurn: 0.005274, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[16:11:17.207] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.097381, xSensAcc2: -0.282924, xSensYaw: -0.006903, rateOfTurn: 0.004901, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[16:11:17.223] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.094308, xSensAcc2: -0.264717, xSensYaw: -0.006903, rateOfTurn: 0.004552, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[16:11:17.256] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.089023, xSensAcc2: -0.283925, xSensYaw: -0.006927, rateOfTurn: 0.004738, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[16:11:17.305] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.083155, xSensAcc2: -0.265648, xSensYaw: -0.006973, rateOfTurn: 0.004435, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[16:11:17.338] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.102015, xSensAcc2: -0.276661, xSensYaw: -0.006973, rateOfTurn: 0.004296, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[16:11:17.354] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.100082, xSensAcc2: -0.271562, xSensYaw: -0.006997, rateOfTurn: 0.004598, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[16:11:17.403] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.105367, xSensAcc2: -0.260619, xSensYaw: -0.006973, rateOfTurn: 0.005227, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[16:11:17.436] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.085041, xSensAcc2: -0.275194, xSensYaw: -0.006950, rateOfTurn: 0.005669, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[16:11:17.452] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.095170, xSensAcc2: -0.280526, xSensYaw: -0.006973, rateOfTurn: 0.005600, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[16:11:17.468] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.095728, xSensAcc2: -0.289537, xSensYaw: -0.006950, rateOfTurn: 0.005390, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[16:11:17.501] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.080198, xSensAcc2: -0.269513, xSensYaw: -0.006973, rateOfTurn: 0.005041, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[16:11:17.533] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.094401, xSensAcc2: -0.277360, xSensYaw: -0.007020, rateOfTurn: 0.004482, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

