[15:35:13.508] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.090862, xSensAcc2: -0.278244, xSensYaw: 0.357593, rateOfTurn: 0.002433, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[15:35:13.525] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.090862, xSensAcc2: -0.278244, xSensYaw: 0.357593, rateOfTurn: 0.002433, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[15:35:13.541] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.090862, xSensAcc2: -0.278244, xSensYaw: 0.357593, rateOfTurn: 0.002433, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[15:35:13.557] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.090862, xSensAcc2: -0.278244, xSensYaw: 0.357593, rateOfTurn: 0.002433, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[15:35:13.573] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.090862, xSensAcc2: -0.278244, xSensYaw: 0.357593, rateOfTurn: 0.002433, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[15:35:13.590] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.090862, xSensAcc2: -0.278244, xSensYaw: 0.357593, rateOfTurn: 0.002433, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[15:35:13.606] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.090862, xSensAcc2: -0.278244, xSensYaw: 0.357593, rateOfTurn: 0.002433, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[15:35:13.639] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.098406, xSensAcc2: -0.255730, xSensYaw: 0.357663, rateOfTurn: 0.003132, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[15:35:13.671] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.070769, xSensAcc2: -0.249490, xSensYaw: 0.357663, rateOfTurn: 0.002992, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

