[14:24:35.946] { id: 7, vel: { 0, 0}, pos: { -0.354391, 0.488046}, angle: 3.03395, w: 0 }
[14:24:37.416] { id: 7, vel: { 0.000135114, -6.46296e-05}, pos: { -0.354382, 0.488082}, angle: 3.03559, w: -0.010487 }

[14:24:37.426] { id: 7, vel: { 0.000238282, -3.99103e-05}, pos: { -0.354363, 0.488085}, angle: 3.03566, w: -0.00752565 }

[14:24:37.436] { id: 7, vel: { 0.000238282, -3.99103e-05}, pos: { -0.354363, 0.488085}, angle: 3.03566, w: -0.00752565 }

[14:24:37.446] { id: 7, vel: { 0.000261694, -3.21204e-05}, pos: { -0.354356, 0.488085}, angle: 3.03562, w: -0.00644731 }

[14:24:37.456] { id: 7, vel: { 0.00021534, -7.79049e-05}, pos: { -0.354359, 0.488077}, angle: 3.03594, w: -0.00129287 }

[14:24:37.466] { id: 7, vel: { 0.00021534, -7.79049e-05}, pos: { -0.354359, 0.488077}, angle: 3.03594, w: -0.00129287 }

[14:24:37.476] { id: 7, vel: { 0.000249889, -0.000141117}, pos: { -0.35435, 0.488066}, angle: 3.03567, w: -0.00424231 }

[14:24:37.486] { id: 7, vel: { 0.000205745, -8.34489e-05}, pos: { -0.354353, 0.488073}, angle: 3.03581, w: -0.00170658 }

[14:24:37.496] { id: 7, vel: { 0.000205745, -8.34489e-05}, pos: { -0.354353, 0.488073}, angle: 3.03581, w: -0.00170658 }

[14:24:37.506] { id: 7, vel: { 0.000114074, -0.000183739}, pos: { -0.354364, 0.488055}, angle: 3.03582, w: -0.00131083 }

[14:24:37.516] { id: 7, vel: { 0.000114074, -0.000183739}, pos: { -0.354364, 0.488055}, angle: 3.03582, w: -0.00131083 }

[14:24:37.526] { id: 7, vel: { 8.01711e-05, -0.000191666}, pos: { -0.354367, 0.488051}, angle: 3.0361, w: 0.00237345 }

[14:24:37.536] { id: 7, vel: { 4.96142e-05, -0.000258134}, pos: { -0.354371, 0.488037}, angle: 3.03618, w: 0.00290693 }

[14:24:37.546] { id: 7, vel: { 4.96142e-05, -0.000258134}, pos: { -0.354371, 0.488037}, angle: 3.03618, w: 0.00290693 }

[14:24:37.556] { id: 7, vel: { 4.96142e-05, -0.000258134}, pos: { -0.354371, 0.488037}, angle: 3.03618, w: 0.00290693 }

[14:24:37.566] { id: 7, vel: { 0.000112074, -0.00013621}, pos: { -0.35436, 0.488053}, angle: 3.03613, w: 0.00174372 }

[14:24:37.576] { id: 7, vel: { 8.88062e-05, 5.10031e-08}, pos: { -0.354362, 0.488072}, angle: 3.03608, w: 0.00074527 }

[14:24:37.586] { id: 7, vel: { 8.88062e-05, 5.10031e-08}, pos: { -0.354362, 0.488072}, angle: 3.03608, w: 0.00074527 }

[14:24:37.596] { id: 7, vel: { 0.000139702, 8.4092e-05}, pos: { -0.354352, 0.488086}, angle: 3.0358, w: -0.00277427 }

[14:24:37.606] { id: 7, vel: { 0.000139702, 8.4092e-05}, pos: { -0.354352, 0.488086}, angle: 3.0358, w: -0.00277427 }

[14:24:37.616] { id: 7, vel: { 0.000100892, 0.00011445}, pos: { -0.354356, 0.488092}, angle: 3.03587, w: -0.00136844 }

[14:24:37.626] { id: 7, vel: { 5.83807e-05, 5.81289e-05}, pos: { -0.354362, 0.488085}, angle: 3.03614, w: 0.00210837 }

[14:24:37.636] { id: 7, vel: { 5.83807e-05, 5.81289e-05}, pos: { -0.354362, 0.488085}, angle: 3.03614, w: 0.00210837 }

[14:24:37.646] { id: 7, vel: { 2.86388e-05, 7.3885e-05}, pos: { -0.354365, 0.488088}, angle: 3.03576, w: -0.00288607 }

[14:24:37.656] { id: 7, vel: { 2.86388e-05, 7.3885e-05}, pos: { -0.354365, 0.488088}, angle: 3.03576, w: -0.00288607 }

[14:24:37.666] { id: 7, vel: { 7.0076e-06, 0.000101377}, pos: { -0.354368, 0.488094}, angle: 3.03571, w: -0.00292192 }

[14:24:37.676] { id: 7, vel: { -1.04197e-05, 0.000121464}, pos: { -0.354371, 0.488099}, angle: 3.03543, w: -0.00568357 }

[14:24:37.686] { id: 7, vel: { -1.04197e-05, 0.000121464}, pos: { -0.354371, 0.488099}, angle: 3.03543, w: -0.00568357 }

[14:24:37.696] { id: 7, vel: { 9.11133e-06, 0.000141927}, pos: { -0.354368, 0.488104}, angle: 3.03535, w: -0.00553227 }

[14:24:37.706] { id: 7, vel: { 6.88044e-05, 0.000177997}, pos: { -0.354358, 0.488112}, angle: 3.03569, w: -0.000285145 }

[14:24:37.716] { id: 7, vel: { 6.88044e-05, 0.000177997}, pos: { -0.354358, 0.488112}, angle: 3.03569, w: -0.000285145 }

[14:24:37.726] { id: 7, vel: { 6.88044e-05, 0.000177997}, pos: { -0.354358, 0.488112}, angle: 3.03569, w: -0.000285145 }

[14:24:37.736] { id: 7, vel: { 2.91769e-05, 9.66734e-05}, pos: { -0.354364, 0.488102}, angle: 3.03575, w: 0.000498981 }

[14:24:37.746] { id: 7, vel: { -0.000119891, -8.73339e-05}, pos: { -0.354387, 0.488074}, angle: 3.03601, w: 0.00360914 }

[14:24:37.756] { id: 7, vel: { -0.000113359, -4.03226e-05}, pos: { -0.354388, 0.48808}, angle: 3.03633, w: 0.00671776 }

[14:24:37.766] { id: 7, vel: { -0.000113359, -4.03226e-05}, pos: { -0.354388, 0.48808}, angle: 3.03633, w: 0.00671776 }

[14:24:37.776] { id: 7, vel: { -0.000228373, 4.287e-05}, pos: { -0.354408, 0.488093}, angle: 3.03616, w: 0.00325323 }

[14:24:37.786] { id: 7, vel: { -0.000228373, 4.287e-05}, pos: { -0.354408, 0.488093}, angle: 3.03616, w: 0.00325323 }

[14:24:37.796] { id: 7, vel: { -8.4606e-05, 2.12411e-05}, pos: { -0.354389, 0.48809}, angle: 3.03586, w: -0.00095581 }

